Province id,StateID,albanian,arab,belarusian,bulgarian,chinese,czech,estonian,finnish,french,german,greek,hungarian,english,italian,japanese,latvian,lithuanian,polish,romanian,russian,swedish,turkish,ukrainian,yugoslav,spanish,portuguese,dutch,hindi,danish,norwegian
53,142,Stavanger,Stafanghir,Stavanhier,Stavanger,Sitawange,Stavanger,Stavanger,Stavanger,Stavanger,Stavanger,Stavangker,Stavanger,Stavanger,Stavanger,Sutavuangeru,Stavangeres komūna,Stavangeris,Stavanger,Stavanger,Stavanger,Stavangers kommun,Stavanger,Stavanher,Stavanger,Stavanger,Stavanger,Stavanger,,,
105,262,Narjan-mar,Thueban niryan,Naran-mar,Naryan mar,Baliyangma'er,Narjan-Mar,Narjan-Mar,Narjan-Mar,Narian-Mar,Hafen von Kaiser,Narian-Mar,Narjan-Mar,Naryan Mar,Nar'jan-Mar,Nariyan maru,Narjanmara,Narjan Maras,Narjan-Mar,Narian-Mar,Naryan-Mar,Narjan-Mar,Naryan-Mar,Narjan-mar,Narjan-Mar,Narian-Mar,Narian-Mar,Narjan-Mar,,,
108,397,Balzer,Balt,Bazirnik,Balzer,Balzer,Balzer,Balzer,Balzer,Balzer,Balzer,Balzer,Balzer,Balzer,Balzer,Baruzā,Balzer,Balzer,Balzer,Balzer,Syktyvkar,Balzer,Balzer,Balzer,Balzer,Balzer,Balzer,Balzer,,,
117,263,Novgorod,Filiki nufghurud,Vialiki nouharad,Veliki novgorod,Nuofugeluode,Veliký Novgorod,Veliki Novgorod,Novgorod,Novgorod,Naugard,Novgkoront,Velikij Novgorod,Novgorod,Velikij Novgorod,Novugorodo,Veļikijnovgoroda,Didysis Naugardas,Nowogród Wielki,Veliki Novgorod,Velikij Novgorod,Novgorod,Veliki Novgorod,Velykyj novhorod,Veliki Novgorod,Veliki Nóvgorod,Novogárdia Magna,Veliki Novgorod,,,
121,248,Yaroslavl,Yaruslafil,Jaraslaul,Yaroslaval,Yaluosilafu'er,Jaroslavl,Jaroslavl,Jaroslavl,Iaroslavl,Yaroschaffen,Giaroslavl,Jaroszlavl,Yaroslavl,Jaroslavl',Yarosuravuri,Jaroslavļa,Jaroslavlis,Jarosław,Iaroslavl,Yaroslavl,Jaroslavl,Yaroslavl,Jaroslavl,Jaroslavlj,Yaroslavl,Iaroslavl,Jaroslavl,,,
122,142,Bergen,Birghin,Hnuty,Bergen,Bei'ergen,Bergen,Bergen,Bergen,Bergen,Bergen,Bergken,Bergen,Bergen,Bergen,Berugen,Bergena,Bergenas,Bergen,Berge,Bergen,Bergen,Berge,Berhen,Bergen,Bergen,Bergen,Bergen,,,
153,695,Willemstad,Vemalist,Viliemstad,Vilemstad,Weiliansitade,Willemstad,Willemstad,Willemstad,Willemstad,Willemstad,Villemstat,Willemstad,Willemstad,Willemstad,Uiremusutatto,Vilemstade,Vilemstadas,Willemstad,Willemstad,Villemstad,Willemstad,Willemstad,Villemstad,Willemstad,Willemstad,Willemstad,Willemstad,,,
156,38,Falun,Falun,Falun,Falun,Falun,Falun,Falun,Falun,Falun,Falun,Faloyn,Falun,Falun,Falun,Fārun,Fāluna,Faliunas,Falun,Falun,Falun,Falun,Falun,Falun,Falun,Falun,Falun,Falun,,,
185,13,Arensburg,Arnisburgh,Arensburg,Arensburg,Arensburg,Arensburg,Arensburg,Arensburg,Arensburg,Arensburg,Arensburg,Arensburg,Arensburg,Arensburg,Arensubāgu,Arensburg,Arensburg,Arensburg,Arensburg,Kuressaare,Arensburg,Arensburg,Arensburg,Arensburg,Arensburg,Arensburg,Arensburg,,,
191,295,Elisabethville,Lubumbashi,Lubambashi,Lubumbashi,Yilishabai wei'er,Lubumbashi,Lubumbashi,Lubumbashi,Lubumbashi,Lubumbashi,Loyboybasi,Lubumbashi,Elisabethville,Lubumbashi,Rubunbashi,Lubumbaši,Lubumbašis,Lubumbashi,Lubumbashi,Lubumbashi,Lubumbashi,Lubumbashi,Lubumbashi,Lubumbashi,Lubumbashi,Lubumbashi,Elisabethstad,,,
192,144,Narvik,,,,Na'erweike,Narvik,Narviki vald,Narvik,Narvik,Narvik,Narvik,Narvik község,Narvik,Narvik,,Narvik,Narvik,Narvik,Narvik,Narvik,Narviks kommun,Narvik,,Narvik,Narvik,Narvik,Narvik,,,
197,147,Salla,Sala,Salla,Salla,Sala,Salla,Salla,Salla,Salla,Salla,Salla,Salla,Salla,Salla,Sara,Salla,Salla,Salla,Salla,Salla,Salla,Salla,Salla,Salla,Salla,Salla,Salla,,,
200,136,Aberdeen,Abirdin,Abierdzin,Abardiyn,Aboding,Aberdeen,Aberdeen,Aberdeen,Aberdonie,Abürdawas,Aberntin,Aberdeen,Aberdeen,Aberdeen,Abadīn,Aberdīna,Aberdynas,Aberdeen,Aberdeen,Aberdin,Aberdeen,Aberdeen,Aberdyn,Aberdeen,Aberdeen,Aberdeen,Aberdeen,,,
222,12,Rēzekne,Rizikini,Rezekne,Rezekne,Leizekenei,Rēzekne,Rēzekne,Rēzekne,Rēzekne,Rositten,Rezekne,Rēzekne,Rēzekne,Rēzekne,Rēzekune,Rēzekne,Rezekne,Rzeżyca,Rēzekne,Rezhitsa,Rēzekne,Rēzekne,Rezekne,Rezekne,Rēzekne,Rēzekne,Rositten,,,
241,56,Wilhelmshaven,Filhilmishafin,Wilhelmsgafen,Vilhelmshafen,Weiliangang,Wilhelmshaven,Wilhelmshaven,Wilhelmshaven,Guillaumeshavre,Wilhelmshaven,Vilchelmschafen,Wilhelmshaven,Wilhelmshaven,Wilhelmshaven,Vuiruherumusuhāfen,Wilhelmshaven,Vilhelmshafenas,Wilhelmshaven,Wilhelmshaven,Vil'gel'mshafen,Wilhelmshaven,Wilhelmshaven,Vilhelmshafen,Wilhelmshaven,Wilhelmshaven,Wilhelmshaven,Willemshaven,,,
271,125,Norwich,Nortash,Norja,Norich,Nuoliqi,Norwich,Norwich,Norwich,Norvicq,Nordfolk,Norits,Norwich,Norwich,Norwich,Norijji,Noridža,Noridžas,Norwich,Norwich,Noridzh,Norwich,Norwich,Norvich,Norwich,Norwich,Norwich,Noordwijk,,,
279,85,Bidgoshç,Almashrubat,Bydhasc,Bidgoshch,Bidegeshi,Bydhošť,Bydgoszcz,Bydgoszcz,Bydgoszcz,Bromberg,Bintgkosts,Bydgoszcz,Bydgoszcz,Bydgoszcz,Buidogoshuchu,Bidgošča,Bydgoščius,Bydgoszcz,Bydgoszcz,Bydgoshch,Bydgoszcz,Bydgoszcz,Bydhoshch,Bydgoszcz,Bydgoszcz,Bydgoszcz,Bromberg,,,
284,120,Highlands,Murtafaeat askutlanda,Paunocna-satlandskaje nahorje,Severoshotlandska planinska zemya,Sugelang'aodi,Skotská vysočina,Põhja-Šoti mägismaa,Skotlannin ylämaa,Montagnes Écossaises,Schottisches Land,Highlands,Skót-felföld,Scottish Highlands,Highlands,Hairando chihō,Highlands,Škotijos aukštumos,Highlands,Highlands,Severo-Shotlandskoe nagor'e,Skotska högländerna,Kuzey İskoçya,Hajlends,Škotsko visočje,Tierras Altas de Escocia,Terras Altas,Schotse Hooglanden,,,
285,113,Wexford,Wayksufurd,Wexfard,Ueksford,Weikesifude,Wexford,Wexford,Wexford,Vesfort,Wechstadt,Wexford,Wexford,Wexford,Wexford,Uekkusufōdo,Wexford,Veksfordas,Wexford,Wexford,Ueksford,Wexford,Wexford,Veksford,Wexford,Wexford,Wexford,Wexford,,,
303,113,Tullamore,Tullamore,Tulmara,Talamor,Talamo'er,Tullamore,Tullamore,Tullamore,Tulomoure,Mansteinstadt,Tallamor,Tullamore,Tullamore,Tullamore,Taramoa,Tullamore,Talamoras,Tullamore,Tullamore,Tallamor,Tullamore,Tullamore,Tallamor,Tullamore,Tullamore,Tullamore,Tullamore,,,
306,242,Smolensku,Sumulinsik,Smaliensk,Smolensk,Simolengsike,Smolensk,Smolensk,Smolensk,Smolensk,Smolenskau,Smolensk,Szmolenszk,Smolensk,Smolensk,Sumorensuku,Smoļenska,Smolenskas,Smoleńsk,Smolensk,Smolensk,Smolensk,Smolensk,Smolensk,Smolensk,Smolensk,Smolensk,Smolensk,,,
310,12,Daugavpils,Rogbiles,Dauhaupils,Daugavpils,Taogefupi'ersi,Daugavpils,Daugavpils,Daugavpils,Daugavpils,Dünaburg,Ntaoygkavpils,Daugavpils,Daugavpils,Daugavpils,Daugafupirusu,Daugavpils,Daugpilis,Dyneburg,Daugavpils,Dvinsk,Daugavpils,Daugavpils,Dauhavpils,Daugavpils,Daugavpils,Dunaburgo,Dunaburg,,,
311,122,Wrexham,Wrexham,Rieksem,Reksam,Leikesihanmu,Wrexham,Wrexham,Wrexham,Reixame,Wrechensheim,Rexam,Wrexham,Wrexham,Wrexham,Rekusamu,Wrexham,Reksamas,Wrexham,Wrexham,Reksem,Wrexham,Wrexham,Reksem,Wrexham,Wrexham,Wrexham,Wrexham,,,
321,61,Rostoku,Rustuk,Rostac,Rostok,Luosituoke,Rostock,Rostock,Rostock,Rostock,Rostock,Rostok,Rostock,Rostock,Rostock,Ro sutokku,Rostoka,Rostokas,Rostock,Rostock,Rostok,Rostock,Rostock,Rostok,Rostock,Rostock,Rostock,Rostok,,,
351,131,Newcastle,Niukasil,Newcastle,Nyukasal,Niuqiasi'er,Newcastle,Newcastle,Newcastle,Neufchâtel-sur-Tine,Neuenkastell,Newcastle,Newcastle,Newcastle,Newcastle,Nyūkassuru,Newcastle,Niukaslas,Newcastle,Newcastle,N'jukasl,Newcastle,Newcastle,Njukasl,Newcastle,Newcastle,Newcastle,Nieuwburg,,,
362,85,Dancigu,Ghdansik,Gdansk,Gdansk,Gedansike,Gdaňsk,Gdańsk,Gdańsk,Gdańsk,Danzig,Gkntansk,Gdańsk,Danzig,Danzica,Gudanisuku,Gdaņska,Gdanskas,Gdańsk,Gdańsk,Gdan'sk,Gdańsk,Gdańsk,Hdansk,Gdanjsk,Gdansk,Gdansk,Dantzig,,,
377,122,Kardif,Kardif,Kardyf,Kardif,Jiadefu,Cardiff,Cardiff,Cardiff,Chardives,Barrig,Karntif,Cardiff,Cardiff,Cardiff,Kādifu,Kārdifa,Kardifas,Cardiff,Cardiff,Kardiff,Cardiff,Cardiff,Kardiff,Cardiff,Cardiff,Cardiff,Cardiff,,,
382,205,Kaluga,Kalugha,Kaluh,Kaluga,Qialujia,Kaluga,Kaluga,Kaluga,Kalouga,Kalün,Kaloygka,Kaluga,Kaluga,Kaluga,Karūga,Kaluga,Kaluga,Kaługa,Kaluga,Kaluga,Kaluga,Kaluga,Kaluha,Kaluga,Kaluga,Kaluga,Kaloega,,,
383,140,Göteborg,Ghutinbirgh,Hiotebarh,Gyoteborg,Gedebao,Göteborg,Göteborg,Göteborg,Göteborg,Göteborg,Gketeborgk,Göteborg,Göteborg,Göteborg,Yōtebori,Gēteborga,Geteborgas,Göteborg,Göteborg,Geteborg,Göteborg,Göteborg,Heteborh,Göteborg,Gotemburgo,Gotemburgo,Gotenburg,,,
385,119,Derry,Diri,Landanda,Deri,Deli,Londonderry,Derry,Londonderry,Daire,Kleines,Nteri,Londonderry,Londonderry,Derry,Rondonderī,Deri,Londonderis,Londonderry,Derry,Londonderri,Londonderry,Derry,Derri,Derry,Derry,Derry,Derry,,,
391,7,Amsterdami,Amistirdam,Amsterdam,Amsterdam,Amusitedan,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Amsterntam,Amszterdam,Amsterdam,Amsterdam,Amusuterudamu,Amsterdama,Amsterdamas,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Ámsterdam,Amesterdão,Amsterdam,,,
392,250,Ulyanovsk,Uwlyanufisk,Uljanausk,Ulyanovsk,Wuliyangnuofusike,Uljanovsk,Uljanovsk,Uljanovsk,Oulianovsk,Lanowstadt,Oylianofsk,Uljanovszk,Ulyanovsk,Ul'janovsk,Uriyanofusuku,Uļjanovska,Uljanovskas,Uljanowsk,Ulianovsk,Ulyanovsk,Uljanovsk,Ulyanovsk,Uljanovsk,Uljanovsk,Uliánovsk,Ulianovsk,Oeljanovsk,,,
402,10,Siedlce,Sayudlis,Cedlatsy,Shedaltse,Xiede'ercai,Siedlce,Siedlce,Siedlce,Siedlce,Schedlitz,Siedlce,Siedlce,Siedlce,Siedlce,Shi doru su,Sedlce,Sedlcos,Siedlce,Siedlce,Sedl'tse,Siedlce,Siedlce,Sedltsi,Siedlce,Siedlce,Siedlce,Siedlce,,,
406,96,Mołodeczno,Maladzishana,Maladziecna,Molodechno,Moluojieqinuo,Maladzečna,Maładziečna,Maladzetšna,Maladetchna,Maladsetschna,Mołodeczno,Maladzecsna,Mołodeczno,Maladzečna,Maladsetschna,Maladzječna,Maladečina,Mołodeczno,Mołodeczno,Molodechno,Maladzetjna,Maladzeçna,Molodechno,Maladzečna,Mołodeczno,Mołodeczno,Maladzetsjna,,,
407,122,Swansea,Suanzi,Sujonsi,Suonzi,Siwangxi,Swansea,Swansea,Swansea,La Mer-aux-Cygnes,Schweinsau,Soyonsi,Swansea,Swansea,Swansea,Suuonjī,Svonzi,Svonsis,Swansea,Swansea,Suonsi,Swansea,Swansea,Suonsi,Swansea,Swansea,Swansea,Swansea,,,
413,260,Voronezh,Farunish,Varoniez,Voronezh,Woluonieri,Voroněž,Voronež,Voronež,Voronej,Woronesch,Voronez,Voronyezs,Voronezh,Voronež,Vuoroneji,Voroņeža,Voronežas,Woroneż,Voronej,Voronezh,Voronezj,Voronej,Voronezh,Voronjež,Vorónezh,Voronej,Voronezj,,,
418,221,Kharkov,Kharkif,Charkau,Harkov,Ha'erkefu,Charkov,Harkiv,Harkova,Kharkiv,Karkau,Charkovo,Harkov,Kharkov,Charkiv,Harukiu,Harkova,Charkovas,Charków,Harkov,Har'kov,Charkiv,Harkov,Kharkiv,Harkiv,Járkov,Carcóvia,Charkov,,,
422,93,Kowel,Kufl,Koviel,Kovel,Keweili,Kovel,Kovel,Kovel,Kovel,Kowel,Kowel,Kowel,Kovel,Kovel',Kōvueri,Koveļa,Kovelis,Kowel,Kovel,Kovel,Kovel,Kovel,Kovel,Kowel,Kóvel,Kovel,Kovel,,,
425,60,Weimar,Faymar,Weetar,Vaymar,Weima,Výmar,Weimar,Weimar,Weimar,Weimar,Vaimari,Weimar,Weimar,Weimar,Vuaimaru,Veimāra,Veimaras,Weimar,Weimar,Vejmar,Weimar,Weimar,Vejmar,Weimar,Weimar,Weimar,Weimar,,,
442,88,Tarnów,Tarnuf,Tarnau,Tarnov,Ta'ernufu,Tarnów,Tarnów,Tarnów,Tarnów,Tarnau,Tarnoyf,Tarnów,Tarnów,Tarnau,Tarunufu,Tarnova,Tarnuvas,Tarnów,Tarnów,Tarnov,Tarnów,Tarnów,Tarniv,Tarnów,Tarnów,Tarnów,Tarnow,,,
476,198,Vinnytsia,Finitsa,Vinnica,Vinitsa,Wennicha,Vinnycja,Vinnõtsja,Vinnytsja,Vinnytsia,Winniza,Vinitsa,Vinnicja,Vinnytsia,Vinnycja,Vuīn'nuitsuya,Vinnica,Vinycia,Winnica,Vinița,Vinnytsia,Vinnytsia,Vinnıtsya,Vinnytsja,Vinica,Vínnytsia,Vinnytsia,Vinnytsja,,,
