ID,albanian,arab,belarusian,bulgarian,chinese,czech,english,estonian,finnish,french,german,greek,hungarian,italian,japanese,latvian,lithuanian,polish,romanian,russian,swedish,turkish,ukrainian,yugoslav,spanish,portuguese,dutch
1,Korsika,Kursika,,,Kexijia,Korsika,Corsica,Korsika,Korsika,Corse,Korsika,Korsiki,Korzika,Corsica,Korushikashima,Korsika,Korsika,Korsyka,Corsica,Korsika,Korsika,Korsika,,Korzika,Córcega,Córsega,Corsica
2,Latium,Latyum,,,Ladingmu,Latium,Latium,Latium,Latium,Latium,Latium,Latium,Latium,Lazio,Ratiumu,Latija,Latium,Latium,Latium,Latsij,Latium,Latium,,Latium,Latium,Lácio,Latium
3,Zvicra,Suisra,,,Ruishi,Švýcarsko,Switzerland,Šveits,Sveitsi,Suisse,Schweiz,Elvetia,Svájc,Svizzera,Suisu,Šveice,Šveicarija,Szwajcaria,Elveția,Shvejtsarija,Schweiz,İsviçre,,Švicarska,Suiza,Suíça,Zwitserland
4,Austria e Poshtme,Alnimsa alsuflaa,,,Xia'aodilizhou,Dolní Rakousy,Lower Austria,Alam-Austria,Ala-Itävalta,Basse-Autriche,Niederösterreich,Kato Austria,Alsó-Ausztria,Bassa Austria,Nīdāesutāraihi shū,Lejasaustrija,Žemutinė Austrija,Dolna Austria,Austria Inferioară,Nizhnjaja Avstrija,Niederösterreich,Aşağı Avusturya,,Donja Austrija,Baja Austria,Baixa Áustria,Neder-Oostenrijk
5,Ermland-Masuren,Ermland-Masuren,Warminska-Mazurskaya,,Wa'ermi-mazulisheng,Ermland-Masuren,Ermland-Masuren,Ermland-Masuren,Ermland-Masuren,Warmie-Mazurie,Ermland-Masuren,Ermland-Masuren,Ermland-Masuren,Varmia-Masuria,Ermland-Masuren,Ermland-Masuren,Ermland-Masuren,Ermland-Masuren,Ermland-Masuren,Ermland-Masuren,Ermland-Masuren,Ermland-Masuren,,Ermland-Masuren,Ermland-Masuren,Ermland-Masuren,Ermland-Masuren
6,Flandria,Flandar,,,Folande,Vlámsko,Vlaanderen,Vlaanderen,Flanderi,Flandre,Vlaanderen,Flandra,Flandria,Fiandre,Furandoru,Flandrija,Vlaanderen,Flandria,Flandra,Flandrija,Flandern,Flandre,,Flandrija,Flandes,Flandres,Vlaanderen
7,Holland,Hulanda,,,Helan,Holandsko,Holland,Holland,Holland,Hollande,Holland,Ollandia,Holland,Olanda,Horanto,Holande,Olandija,Holandia,Olanda,Gollandija,Holland,Holland,,Holland,Holanda,Holanda,Holland
8,Luksemburgu,Luksimburgh,,,Lusenbao,Lucembursko,Luxemburg,Luksemburg,Luxemburg,Luxembourg,Luxemburg,Loyxemvoyrgo,Luxemburg,Lusseumburgo,Rukusenburuku,Luksemburga,Liuksemburgas,Luksemburg,Luxemburg,Ljuksemburg,Luxemburg,Lüksemburg,,Luksemburg,Luxemburgo,Luxemburgo,Luxemburg
9,Bohemia,Buhimia,,,Boximiya,Čechy,Bohemia,Čechy,Böömi,Bohême,Böhmen,Voimia,Csehország,Boemia,Bohemia,Bohēmija,Bohemija,Czechy,Boemia,Bogemija,Böhmen,Bohemya,,Češka,Bohemia,Boémia,Bohemen
10,Varshava,Alnujum,,,Huasha,Varšava,Warszawa,Varssavi,Varsova,Varsovie,Weichselland,Varsovia,Varsó,Varsavia,Warushawa,Varšava,Varšuva,Warszawa,Varşovia,Varshava,Warszawa,Varşova,,Varšava,Varsovia,Varsóvia,Warschau
